schemaname,tablename,policyname,qual,with_check
public,tribal_questions,Users access own data,"(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = tribal_questions.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))",""
public,tribal_scheme_members,Users access own data,"(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = tribal_scheme_members.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))",""
public,tulsi_plants,Users access own data,"(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = tulsi_plants.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))",""
public,tribal_card,Users access own data,"(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = tribal_card.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))","(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = tribal_card.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))"
public,vb_gram_members,Users access own data,"(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = vb_gram_members.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))",""
public,merged_govt_schemes,Users access own data,"(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = merged_govt_schemes.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))","(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = merged_govt_schemes.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))"
public,widow_scheme_members,Users access own data,"(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = widow_scheme_members.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))",""
public,pm_kisan_nidhi,Users access own data,"(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = pm_kisan_nidhi.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))","(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = pm_kisan_nidhi.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))"
public,ration_card,Users access own data,"(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = ration_card.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))","(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = ration_card.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))"
public,pm_kisan_samman_nidhi,Users access own data,"(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = pm_kisan_samman_nidhi.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))","(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = pm_kisan_samman_nidhi.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))"
public,training_needs,Training needs - Users access own data,"(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = training_needs.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))","(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = training_needs.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))"
public,family_members,Users access own data,"(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = family_members.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))","(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = family_members.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))"
public,family_id,Users access own data,"(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = family_id.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))","(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = family_id.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))"
public,aadhaar_info,Users access own data,"(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = aadhaar_info.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))","(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = aadhaar_info.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))"
public,ayushman_card,Users access own data,"(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = ayushman_card.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))","(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = ayushman_card.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))"
public,samagra_id,Users access own data,"(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = samagra_id.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))","(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = samagra_id.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))"
